time_s,mor1,mor2,mor3,mor4,mor5,mor6,mor7,mor8,mor9,mor10,mor11,mor12,noon1,noon2,noon3,noon4,noon5,noon6,noon7,noon8,noon9,noon10,noon11,noon12,eve1,eve2,eve3,eve4,eve5,eve6,eve7,eve8,eve9,eve10,eve11,eve12,normal
55,82.72,78.08,84.79,83.1,81.78,85.23,86.23,77.58,95.54,81.87,82.37,82.19,92.43,89.55,87.36,98.37,99.54,84.48,93.14,87.13,96.41,95.49,90.86,87.31,68.82,72.1,77.27,65.45,77.16,77.94,66.87,69.15,68.1,63.93,62.49,82.3,71.95
60,87.74,82.54,92.7,89.78,86.94,89.62,91.67,82.83,98.13,84.69,89.27,86.02,92.97,89.34,89.16,100.23,99.38,86.29,95.02,88.21,98.45,96.98,91.96,89.31,80.04,84.04,91.0,77.19,88.78,89.43,75.72,81.85,79.79,75.23,72.19,95.48,76.79
65,89.1,83.02,94.85,91.75,88.56,89.29,92.4,84.59,98.29,85.58,90.59,86.57,92.48,87.35,90.11,103.36,97.51,88.94,97.23,91.87,98.06,97.91,93.38,86.41,88.25,92.72,98.95,87.63,99.76,98.08,82.14,92.07,89.53,85.72,83.39,102.75,80.05
70,88.15,82.91,92.54,89.89,88.48,88.59,91.14,82.48,97.58,82.98,86.72,86.23,91.8,86.05,90.32,102.94,96.11,91.02,98.65,93.98,100.19,97.3,93.2,84.09,94.11,97.4,103.88,94.61,104.4,102.7,88.96,101.19,97.53,90.78,92.53,109.7,82.12
75,87.33,81.62,90.15,88.12,86.76,89.17,90.92,80.49,98.06,83.62,81.51,85.9,92.08,86.96,89.7,101.53,95.09,92.34,99.7,96.3,100.82,95.43,94.73,83.63,99.04,102.98,105.51,99.15,107.43,104.91,94.38,107.5,104.31,95.38,98.87,112.38,83.71
80,87.45,81.24,87.86,89.0,85.13,88.75,90.72,78.99,100.99,83.93,76.81,86.37,94.13,89.91,90.19,101.48,97.59,92.68,100.67,97.26,103.27,95.06,93.7,86.15,102.43,108.7,108.57,99.75,108.81,103.18,99.52,110.2,108.67,96.12,98.68,114.71,85.27
85,88.34,81.88,88.47,92.05,82.89,87.84,92.01,81.25,104.6,85.62,75.77,87.88,97.81,93.77,93.03,104.3,103.76,94.78,104.37,98.62,104.71,97.15,93.88,89.92,103.92,112.02,107.22,100.7,113.08,102.54,102.04,109.8,109.93,95.76,96.02,114.66,86.84
90,89.41,83.37,90.03,94.2,82.26,85.39,91.24,83.39,106.6,86.64,78.04,89.15,101.33,95.99,96.87,109.77,109.78,97.66,110.14,99.83,108.7,100.03,93.33,93.74,104.14,113.37,105.66,100.27,115.04,105.38,102.51,106.39,108.97,93.47,95.76,117.67,88.32
95,90.9,85.56,94.23,96.43,82.95,86.71,94.35,87.29,104.08,88.5,81.41,90.96,103.47,97.31,100.53,112.08,113.28,103.17,117.35,101.2,111.16,100.87,95.78,97.47,104.51,112.63,104.95,101.42,117.88,109.37,101.46,103.78,108.5,92.15,95.84,122.73,89.72
100,92.58,86.83,96.98,97.33,86.07,88.92,96.87,88.8,101.45,90.41,84.69,91.07,104.5,98.55,100.94,114.43,116.52,106.79,121.63,104.26,114.63,101.13,98.94,100.8,105.94,114.49,108.91,101.14,121.76,113.54,101.33,102.65,109.39,93.16,97.09,127.17,91.2
105,94.8,88.69,100.64,99.54,88.11,92.69,102.03,90.03,100.26,93.91,86.58,92.73,105.74,102.57,102.62,113.99,119.68,110.38,122.31,110.38,116.06,104.83,102.33,103.71,108.57,114.61,114.79,102.33,127.44,115.59,102.38,106.13,110.55,98.5,97.22,128.93,92.86
110,96.62,90.67,102.69,100.01,89.96,95.2,103.59,87.22,104.18,98.01,88.47,94.51,107.75,105.09,103.98,117.23,123.53,110.87,119.03,118.46,120.49,111.21,105.54,104.5,111.73,114.52,117.55,103.65,131.54,119.1,105.08,109.94,110.19,105.47,100.5,126.79,94.31
115,98.0,91.18,103.3,99.51,90.22,96.95,107.07,87.05,106.66,102.3,88.56,99.33,110.14,107.27,108.35,120.87,124.72,111.55,119.61,123.27,124.4,119.15,107.83,104.3,113.26,112.3,118.6,104.0,131.28,120.65,105.81,113.94,108.43,110.66,103.53,125.22,94.81
120,97.67,89.13,100.63,97.08,91.52,97.69,106.85,87.62,110.85,104.19,89.33,100.53,109.3,104.09,108.5,123.26,122.5,109.31,118.15,119.16,122.78,117.04,107.51,100.41,109.86,107.17,116.77,101.18,126.99,117.48,103.39,112.76,104.08,105.06,101.02,121.62,93.58
125,96.04,85.57,96.78,93.59,90.91,95.91,107.04,90.86,110.4,101.77,88.71,98.28,105.73,102.05,106.33,116.62,114.95,105.44,116.15,110.91,117.98,109.24,102.73,95.27,103.34,102.7,113.21,92.82,118.37,109.9,98.1,109.57,100.37,95.96,93.79,115.95,90.84
130,93.14,84.3,92.34,91.89,90.2,92.45,102.44,89.92,109.49,95.09,88.74,92.62,99.19,94.52,97.98,104.76,105.69,98.99,107.83,101.94,110.92,97.67,94.65,87.27,95.58,94.7,106.57,85.32,108.17,100.69,94.0,103.31,96.29,86.09,85.54,107.26,87.45
135,91.31,84.39,89.96,91.52,87.56,88.39,98.7,88.15,103.83,88.85,87.44,89.72,95.28,89.83,92.9,95.84,100.07,93.04,103.2,100.98,109.62,94.22,88.27,83.52,92.48,92.16,101.62,81.8,101.61,95.47,92.5,99.85,96.47,84.86,83.59,101.6,84.77
140,90.78,84.96,88.38,92.53,86.08,85.66,95.86,85.64,101.38,87.65,86.54,89.48,92.69,85.04,88.56,94.14,99.34,89.25,101.33,100.24,105.63,94.21,83.76,80.59,91.18,88.53,98.98,84.78,98.24,93.92,92.91,97.54,97.07,85.15,85.4,97.73,83.23
145,91.95,84.9,89.57,92.49,85.64,86.17,96.47,86.67,102.14,90.94,86.56,90.76,92.34,86.65,88.43,96.59,100.2,88.4,101.41,99.28,102.34,97.06,82.98,81.72,91.44,89.5,97.84,87.47,100.16,96.87,90.95,96.28,97.94,86.15,87.26,96.71,82.77
150,92.77,86.09,91.2,92.14,87.73,90.28,98.84,88.11,106.47,94.68,87.13,91.66,91.78,89.54,88.28,98.98,100.24,89.23,100.9,93.14,98.77,97.99,83.97,82.09,91.02,89.18,96.21,88.42,101.63,99.82,88.88,94.84,96.76,84.66,88.96,96.45,82.76
155,92.97,86.69,93.46,91.76,89.77,95.23,97.47,89.36,107.69,95.65,87.77,92.44,91.77,91.92,89.15,99.83,99.18,90.79,99.37,87.14,98.08,97.68,87.38,84.38,91.79,91.03,97.01,85.7,104.28,101.98,87.04,94.99,96.39,83.66,89.87,98.21,82.96
160,91.82,85.34,93.55,92.44,88.63,96.1,95.34,86.81,105.26,94.17,87.11,92.13,91.52,91.86,90.8,99.68,97.66,91.51,97.77,86.09,96.86,97.46,88.96,84.79,93.62,93.35,99.23,83.21,104.35,102.11,89.0,95.42,98.65,86.06,92.56,102.1,83.2
165,91.07,81.09,93.7,92.74,87.29,94.16,92.87,84.63,103.58,91.66,86.27,91.48,91.99,89.09,93.35,99.91,95.54,92.49,97.41,89.88,95.0,96.39,88.99,85.4,95.43,95.52,102.92,81.35,105.05,103.45,92.05,96.4,101.65,88.24,92.66,107.12,83.67
170,90.78,79.05,92.58,93.1,86.0,90.59,93.59,82.85,102.26,90.41,85.6,91.52,92.87,88.06,95.71,99.74,94.43,92.92,99.44,96.22,95.28,99.03,88.5,85.22,95.79,96.18,101.26,82.54,105.04,102.59,95.06,95.53,102.94,90.01,91.5,110.84,84.33
175,92.17,80.03,93.45,94.06,87.3,90.97,95.18,84.82,104.1,90.97,87.39,94.45,96.51,88.38,98.09,102.18,97.44,97.32,105.41,100.77,102.24,103.8,91.83,89.36,96.55,95.48,99.53,85.97,107.27,101.98,97.24,96.51,103.3,90.23,89.48,113.52,85.23
180,93.08,83.46,92.45,96.43,86.88,92.37,96.5,86.35,103.2,93.31,88.55,97.98,98.52,88.91,97.25,102.4,100.95,100.1,109.41,99.6,107.65,108.85,94.17,91.88,95.61,93.72,96.38,87.03,107.74,96.95,96.65,95.78,102.19,89.67,88.94,112.25,85.74
185,93.6,85.14,94.52,98.06,87.68,95.24,99.79,89.28,103.24,94.19,90.99,99.85,100.14,88.71,96.46,104.66,102.66,102.29,110.54,97.22,110.88,109.54,95.77,95.52,95.68,94.3,97.73,85.95,108.04,96.59,95.51,96.42,103.02,88.95,89.3,112.06,85.66
190,92.11,84.48,94.65,96.38,87.66,95.8,99.67,88.59,101.33,93.53,90.48,98.35,96.99,87.66,93.45,101.55,100.58,96.17,107.7,92.33,105.13,103.99,92.01,92.55,92.74,94.83,96.28,81.24,104.18,92.23,91.84,95.2,98.98,85.89,90.37,108.36,84.73
195,91.04,84.27,95.29,93.42,86.99,94.57,99.62,86.7,100.88,91.53,91.45,96.3,94.99,89.46,92.27,99.06,99.76,92.12,105.92,92.57,102.99,98.8,90.4,90.68,92.2,98.68,96.77,79.61,101.35,93.71,89.85,96.52,96.41,86.21,90.36,109.66,83.68
200,90.51,84.25,93.32,92.06,85.45,92.12,96.27,81.54,103.21,90.1,89.89,95.83,92.41,89.99,91.74,93.46,98.09,87.85,103.61,93.71,100.81,95.39,89.05,87.24,90.91,100.36,94.87,79.82,98.51,91.06,87.3,96.52,92.97,87.57,89.67,109.85,82.81
205,91.68,84.58,93.82,95.66,85.58,91.18,95.79,78.41,104.4,90.87,88.94,96.31,92.07,90.94,93.01,92.8,96.33,89.08,98.94,97.34,101.69,95.64,90.06,86.87,91.17,100.38,94.02,82.27,98.99,94.27,86.75,97.31,92.88,90.1,86.66,110.49,82.53
210,92.49,83.67,95.96,99.01,87.91,91.06,94.61,78.09,103.69,92.4,88.4,96.3,91.5,90.34,93.94,93.27,94.02,89.92,94.5,98.27,100.32,96.52,90.72,86.45,90.75,96.66,90.72,83.35,99.99,93.49,87.2,95.96,92.46,89.33,84.64,107.5,82.52
215,92.7,83.97,97.99,99.51,88.26,91.51,95.16,80.21,99.72,93.75,89.87,94.71,91.5,91.01,93.76,96.7,93.19,92.0,91.98,96.3,99.29,98.77,89.81,87.08,91.52,94.17,88.96,84.24,102.94,95.6,89.42,96.22,91.96,88.7,84.23,107.25,82.72
220,91.55,85.6,97.01,95.01,85.72,88.78,96.02,81.92,98.77,91.98,90.17,94.25,91.25,89.74,91.44,97.45,92.07,93.05,96.52,93.07,97.83,99.7,89.01,87.77,93.34,94.81,88.38,85.52,104.54,95.45,91.5,96.79,92.78,88.56,86.82,109.01,82.95
225,90.8,85.86,94.57,91.16,82.92,86.76,97.12,81.12,101.29,89.08,90.07,93.3,91.71,90.29,89.62,96.8,90.5,92.89,100.52,91.76,96.55,101.43,88.6,89.41,95.15,97.11,90.13,89.13,105.49,97.81,92.91,99.96,93.87,90.84,89.82,112.14,83.42
230,90.51,84.37,93.48,91.24,83.39,85.93,96.57,81.07,104.18,87.2,88.75,93.3,92.59,90.77,89.2,94.68,91.89,92.58,105.18,92.79,95.83,103.29,90.97,89.59,95.5,98.34,90.69,89.93,102.62,98.61,91.96,101.84,94.77,90.88,90.19,111.77,84.08
235,91.89,83.52,95.58,93.44,88.02,90.01,96.02,83.68,106.83,87.07,90.59,92.56,96.22,96.44,94.75,97.69,98.27,92.9,106.35,96.45,99.99,108.31,96.09,90.82,96.27,100.43,94.98,91.41,101.38,100.9,92.57,105.13,95.85,90.08,89.66,112.58,84.98
240,92.8,85.08,97.97,95.15,91.36,93.16,94.2,87.97,106.18,88.85,91.18,93.93,98.23,98.71,99.37,101.66,105.19,93.55,107.71,98.71,103.49,109.34,99.29,88.98,95.32,100.73,95.82,89.18,100.47,100.95,90.26,103.72,94.28,85.54,86.29,111.98,85.48
245,93.32,88.58,101.12,94.04,92.16,96.33,94.68,90.94,105.62,90.08,92.51,93.83,99.84,99.82,101.58,105.65,109.61,94.21,106.03,100.36,107.08,106.38,99.8,90.07,95.39,101.52,99.71,89.47,102.56,101.61,91.57,102.82,92.67,83.59,86.26,111.08,85.41
250,91.83,89.87,101.46,92.36,88.29,94.47,93.1,88.46,101.49,91.11,89.72,94.22,96.71,93.64,94.42,103.12,106.65,93.2,102.18,97.56,102.27,99.44,93.88,88.02,92.46,96.02,97.47,87.37,100.58,100.68,89.29,96.95,88.55,82.07,84.85,105.15,84.48
255,90.77,89.92,101.18,89.87,85.62,95.96,94.95,85.0,100.03,91.94,86.44,94.42,94.71,89.03,88.75,101.16,102.53,92.6,97.22,94.4,99.62,95.73,89.08,88.53,91.93,92.94,98.74,87.68,100.84,101.62,91.15,95.12,87.86,85.45,87.87,101.88,83.43
260,90.24,89.39,97.59,89.69,85.9,95.77,95.6,81.99,99.62,92.97,83.56,96.33,92.14,85.4,85.16,100.44,96.78,90.7,93.58,90.35,96.87,93.82,85.24,84.86,90.64,90.63,96.46,88.1,100.87,100.84,89.8,92.32,88.03,86.15,88.89,99.62,82.57
265,91.41,90.32,93.75,92.68,88.03,98.09,98.74,83.67,104.21,94.05,85.71,98.0,91.79,86.39,87.98,102.54,95.44,88.39,94.77,89.72,98.04,94.41,86.88,83.88,90.9,91.5,96.08,88.91,105.38,98.07,92.12,93.19,89.04,87.2,90.49,103.38,82.28
270,92.22,90.65,91.35,98.25,90.3,94.56,98.72,87.49,107.2,93.01,88.39,97.2,91.23,86.91,89.73,104.86,96.45,84.86,97.75,89.09,100.32,95.26,87.77,82.72,90.48,92.26,94.12,88.51,107.25,94.99,92.6,93.48,89.15,84.41,89.36,103.57,82.27
275,92.42,88.68,90.02,100.99,88.63,92.16,98.54,91.35,109.61,92.09,89.13,96.41,91.23,88.3,89.85,104.65,99.32,83.59,101.38,89.62,102.52,97.74,89.85,82.45,91.25,92.01,93.78,86.86,110.07,94.71,93.71,96.32,89.87,84.9,87.89,107.16,82.47
280,91.27,83.8,89.93,100.02,86.53,88.14,96.34,90.89,108.69,91.48,85.44,94.91,90.98,87.61,87.61,100.73,99.21,85.09,101.85,89.22,104.78,98.87,88.36,80.6,93.06,95.12,93.9,87.79,110.52,97.52,91.05,99.39,92.28,87.25,88.49,108.15,82.7
285,90.53,79.77,87.51,98.35,83.57,90.18,95.15,87.19,107.32,92.21,83.01,94.81,91.44,88.22,87.13,96.37,98.06,88.51,102.77,91.26,104.18,99.12,88.12,78.31,94.86,97.21,95.1,91.23,110.67,99.71,89.57,102.05,94.44,91.15,89.34,112.89,83.17
290,90.24,78.81,88.48,97.07,83.69,91.79,94.51,83.26,103.94,90.7,82.12,92.49,92.31,87.29,89.63,93.51,96.25,90.77,103.16,94.25,103.85,97.74,87.19,80.82,95.22,100.26,94.54,95.57,108.91,99.35,89.07,102.82,94.48,92.37,90.89,113.56,83.83
295,91.62,82.34,90.06,96.42,86.78,96.98,94.87,82.74,100.92,89.44,84.34,92.15,95.94,88.09,94.4,96.85,100.18,94.57,106.16,99.41,107.16,99.22,89.95,86.36,95.98,99.09,96.24,99.05,109.89,99.34,92.62,103.53,93.11,90.74,91.0,115.32,84.72
300,92.53,85.77,94.19,93.44,91.06,97.01,94.54,84.03,98.82,87.8,85.75,92.1,97.93,87.5,97.51,97.33,102.7,96.08,105.78,100.7,112.24,99.95,92.83,92.59,95.04,96.89,97.03,98.97,109.31,98.99,92.25,101.89,92.44,87.58,88.72,112.97,85.23
305,93.05,86.09,94.52,91.69,92.28,96.0,95.28,85.51,100.5,89.66,87.56,94.53,99.54,87.16,97.61,98.65,105.6,98.66,106.25,100.25,116.07,102.52,97.34,94.76,95.11,94.96,101.39,99.35,106.42,101.54,91.35,99.31,93.64,84.78,87.37,110.72,85.15
310,91.56,83.16,94.49,90.85,89.64,91.04,95.63,84.38,101.55,91.85,86.31,94.74,96.42,86.88,93.79,96.42,102.73,96.57,100.61,95.8,113.32,101.53,99.72,92.84,92.19,93.2,99.77,94.99,99.86,101.93,86.86,95.85,93.34,81.87,85.74,106.23,84.23
315,90.5,81.11,92.9,93.4,86.28,88.22,98.56,82.94,100.78,94.46,86.16,95.02,94.43,86.74,90.17,98.79,100.84,96.15,98.63,92.89,108.8,103.01,100.75,88.72,91.66,94.52,98.92,92.27,96.0,103.13,85.82,94.92,93.39,81.84,88.34,105.67,83.18
320,89.97,81.13,92.58,95.62,85.51,87.03,100.28,81.74,96.88,95.11,84.93,94.56,91.86,87.57,87.98,99.29,96.89,93.99,97.63,90.27,104.76,102.04,99.38,84.4,90.37,94.73,94.21,87.96,96.04,100.22,84.75,95.09,90.72,81.6,87.7,107.08,82.32
325,91.14,84.21,91.09,98.59,85.61,87.83,103.2,84.39,94.2,94.04,86.38,95.26,91.52,88.2,88.49,98.88,93.85,93.87,101.18,89.94,102.99,102.01,97.23,83.05,90.63,96.85,93.69,86.55,97.13,97.32,85.8,93.53,90.82,82.88,86.17,109.12,82.04
330,91.95,85.28,89.42,99.15,86.07,88.95,101.84,88.17,94.6,92.37,87.95,95.44,90.96,90.0,89.52,96.23,91.53,94.88,103.48,90.88,102.4,98.69,95.73,83.69,90.21,97.19,92.72,85.83,98.74,94.5,86.08,92.75,89.03,83.14,83.42,109.35,82.03
335,92.15,84.95,87.97,99.95,86.34,89.24,98.6,91.33,97.2,90.75,90.41,95.72,90.95,90.62,91.54,94.53,92.73,96.68,102.36,93.59,100.71,96.71,94.27,84.81,90.98,96.54,95.03,85.22,100.31,95.42,87.76,93.24,90.24,87.11,83.75,108.49,82.23
340,91.0,80.86,86.52,97.98,86.64,88.82,93.77,90.83,100.5,89.82,90.93,93.99,90.71,89.52,93.72,95.08,96.3,96.45,100.54,95.49,98.61,95.49,93.5,84.39,92.78,95.98,97.12,86.25,103.5,97.54,90.06,95.78,90.12,91.19,86.19,107.99,82.46
345,90.26,79.36,86.77,97.15,86.58,88.68,92.67,88.54,102.53,89.66,89.49,91.78,91.17,87.51,95.88,97.06,100.74,94.18,98.3,96.48,95.67,97.04,92.68,84.51,94.58,93.99,98.74,84.61,106.45,98.74,92.0,98.36,92.54,92.92,86.99,107.02,82.92
350,89.97,80.77,87.88,96.05,85.89,89.6,92.57,86.73,102.42,90.87,88.52,89.59,92.04,87.76,96.44,100.26,102.64,91.41,98.74,94.8,95.13,96.97,92.55,84.46,94.94,94.07,98.14,84.92,105.73,96.7,90.7,100.33,93.55,89.88,87.88,104.71,83.58
355,91.35,84.99,92.07,97.12,87.39,91.73,95.68,86.6,101.56,93.67,89.15,90.78,95.65,91.95,97.73,103.47,105.68,94.73,102.01,96.59,99.44,99.31,96.29,86.64,95.7,93.65,97.69,85.28,106.24,97.9,90.23,105.52,95.15,87.43,88.27,104.1,84.47
360,92.25,86.44,94.89,95.48,88.06,92.74,95.2,86.39,100.75,95.73,90.31,93.91,97.64,95.04,98.19,103.41,106.97,97.92,105.9,97.2,103.04,99.63,99.96,88.48,94.76,95.64,97.03,88.48,104.83,97.07,90.56,107.22,91.04,85.78,89.14,104.02,84.98
365,92.77,85.56,96.45,92.66,87.94,92.42,96.9,85.24,103.74,96.49,89.61,96.13,99.25,96.22,97.8,101.98,109.54,101.45,107.15,99.28,106.05,101.92,103.05,90.97,94.83,96.14,98.69,91.47,106.7,98.77,94.03,106.86,88.93,85.73,87.78,107.13,84.9
370,91.29,81.84,94.7,88.46,85.72,89.67,93.51,83.7,105.07,95.22,86.71,93.93,96.13,93.31,93.59,98.68,105.89,97.63,102.2,94.58,100.6,98.82,97.07,88.94,91.91,93.8,98.32,90.17,104.0,93.13,93.59,99.24,86.25,82.68,84.43,107.15,83.97
375,90.23,82.0,93.68,88.22,85.51,87.26,93.79,83.85,104.8,93.88,85.06,89.69,94.15,91.59,89.62,98.81,101.96,95.11,96.4,92.25,97.99,96.65,91.02,85.34,91.38,90.46,99.04,87.06,102.73,91.49,92.33,94.69,88.46,81.25,82.25,107.31,82.93
380,89.71,83.42,92.14,90.06,85.78,84.84,92.55,86.03,99.79,92.55,84.18,86.97,91.59,88.34,86.33,97.9,96.6,93.12,93.72,89.38,94.55,93.25,85.01,80.74,90.1,88.85,95.08,81.89,100.04,89.15,89.99,90.75,87.08,78.8,81.68,105.89,82.08
385,90.86,87.29,92.15,94.31,85.22,84.7,96.12,86.59,97.7,93.04,84.87,88.69,91.25,87.59,87.43,98.99,95.03,93.47,95.68,91.06,96.55,94.78,84.16,79.41,90.36,89.99,92.97,80.66,100.43,91.44,88.23,90.62,84.47,79.39,82.89,106.81,81.79
390,91.67,87.41,92.02,95.49,83.97,86.29,99.59,86.2,96.51,95.24,84.36,91.57,90.69,86.36,88.47,98.01,93.21,93.72,97.6,91.65,98.39,96.76,83.92,79.92,89.94,90.25,90.82,80.92,101.05,92.47,86.79,89.98,82.92,81.03,84.86,109.15,81.78
395,91.87,86.57,92.84,95.03,83.79,88.16,102.93,84.92,100.15,97.09,84.01,93.45,90.68,87.69,91.44,98.28,92.9,91.18,98.94,92.21,101.14,100.81,84.62,82.28,90.71,89.8,93.57,82.67,103.08,93.94,85.83,90.53,83.83,85.25,87.91,111.3,81.98
400,90.73,83.69,92.7,92.02,84.57,89.32,102.18,84.76,100.58,96.6,82.26,93.67,90.44,87.23,90.64,99.16,90.88,89.74,97.95,91.99,101.14,100.72,85.36,84.87,92.51,90.93,96.48,83.85,104.53,95.34,87.46,91.48,88.26,88.9,91.8,112.65,82.21
405,89.99,82.8,92.35,90.41,84.76,87.42,99.77,84.69,101.53,92.93,82.7,94.47,90.9,87.98,90.96,100.79,90.6,88.29,99.06,92.37,100.76,100.88,87.55,86.58,94.3,95.17,100.47,84.88,106.36,97.28,91.82,93.02,90.32,90.74,94.48,109.42,82.68
410,89.7,81.63,90.85,90.16,85.4,86.94,96.1,83.97,100.31,90.55,83.84,95.04,91.76,88.51,88.29,100.91,90.0,90.14,100.22,95.57,100.1,100.35,91.38,88.6,94.65,98.58,103.01,85.38,106.95,98.74,94.21,93.89,92.66,89.85,94.55,105.9,83.33
415,91.07,82.97,90.95,93.57,87.31,87.54,95.23,85.02,102.14,90.19,88.04,94.16,95.37,91.86,91.66,101.61,94.0,93.01,107.06,100.6,104.97,104.65,98.97,90.47,95.41,100.5,105.11,85.73,108.18,100.66,96.49,96.7,92.66,89.77,95.86,104.78,84.22
420,91.98,83.89,90.3,98.0,89.11,90.32,93.49,84.76,103.41,91.0,87.89,90.83,97.35,93.24,93.73,101.25,96.0,94.68,111.71,103.16,106.98,106.61,104.0,91.1,94.47,98.2,103.79,83.97,106.58,101.09,94.82,97.47,92.79,88.28,95.48,109.17,84.72
425,92.49,84.84,91.74,100.65,87.24,91.56,95.22,84.28,103.17,91.22,87.31,89.27,98.95,93.2,97.15,102.51,99.15,96.48,115.38,101.08,109.52,107.1,106.41,91.05,94.54,96.67,102.3,82.87,107.46,101.48,95.19,98.21,92.92,88.25,96.64,113.33,84.64
430,91.01,83.3,91.88,99.66,84.46,89.69,96.07,82.93,100.9,89.23,83.26,89.08,95.84,90.75,93.82,99.25,98.27,94.76,109.77,94.85,105.14,102.66,101.15,89.57,91.64,93.44,98.68,80.94,106.93,99.92,92.84,94.4,93.88,85.05,91.98,111.17,83.72
435,89.96,81.48,93.5,97.88,81.49,87.64,97.62,83.73,99.63,89.76,83.4,90.81,93.87,89.71,91.58,98.05,97.87,93.57,102.66,92.1,101.91,98.85,97.19,89.62,91.11,92.7,97.43,81.62,109.33,98.98,92.22,92.69,95.68,85.16,89.47,106.28,82.69
440,89.44,80.32,92.81,98.28,82.65,88.21,97.25,85.06,99.31,89.99,82.48,89.64,91.32,87.44,90.76,97.12,96.32,90.63,93.67,90.04,97.56,95.94,94.22,86.96,89.83,92.31,93.83,81.85,107.93,98.42,90.4,92.37,94.7,84.55,83.84,100.49,81.83
445,90.59,81.09,93.4,98.54,82.85,92.3,97.51,85.19,100.85,92.64,84.41,90.24,90.97,85.7,91.29,98.55,94.05,90.43,88.11,92.1,96.42,95.02,96.39,86.26,90.09,93.15,92.4,80.34,106.25,96.09,89.35,93.57,91.65,85.24,81.69,99.55,81.55
450,91.4,82.24,92.81,97.77,83.82,96.39,99.86,83.67,100.83,93.13,83.37,89.73,90.42,83.25,90.94,98.89,91.81,90.75,86.65,91.37,98.51,94.82,97.22,85.29,89.67,95.17,91.46,76.91,102.18,95.96,87.61,92.8,89.02,83.34,80.69,99.65,81.54
