time_s,mor1,mor2,mor3,mor4,mor5,mor6,mor7,mor8,mor9,mor10,mor11,mor12,noon1,noon2,noon3,noon4,noon5,noon6,noon7,noon8,noon9,noon10,noon11,noon12,eve1,eve2,eve3,eve4,eve5,eve6,eve7,eve8,eve9,eve10,eve11,eve12,normal
80,250.31,0.0,0.0,167.58,26.68,23.72,181.82,34.32,27.99,183.06,26.48,32.28,89.72,166.67,270.13,118.62,189.72,266.71,148.0,138.11,227.32,136.52,191.93,219.88,350.83,0.0,325.55,365.06,66.66,316.2,305.64,82.72,263.01,292.0,80.07,291.54,0.0
85,288.82,0.0,0.0,192.97,30.8,26.65,227.47,38.49,31.38,216.93,29.28,34.41,173.03,224.36,212.24,174.67,243.01,247.8,211.47,189.92,209.7,211.63,232.51,219.38,216.87,6.68,331.93,233.0,63.44,311.37,198.33,64.61,240.09,197.0,70.8,251.63,0.0
90,269.57,0.0,6.38,171.57,28.59,30.58,192.9,35.97,37.17,222.98,28.25,39.43,249.93,224.36,135.06,230.56,254.08,192.12,275.74,185.81,154.26,248.15,208.74,155.8,102.06,26.71,312.78,120.6,72.69,308.65,113.95,62.06,226.95,109.43,79.11,220.28,6.45
95,211.8,0.0,31.89,125.73,25.29,42.79,146.89,29.47,51.87,193.2,27.32,57.15,288.38,166.67,83.61,261.14,193.77,124.4,278.43,156.19,108.3,269.74,141.81,115.35,31.89,66.78,229.8,60.15,87.22,219.32,54.25,74.87,186.43,59.19,87.54,183.02,32.26
100,134.78,0.0,89.3,89.79,23.18,73.32,114.37,26.32,89.5,126.48,25.29,94.79,269.15,89.74,102.91,226.44,121.95,123.24,256.07,100.29,110.55,265.99,93.04,115.7,6.38,106.86,134.05,33.1,90.9,133.2,30.64,91.47,115.8,33.05,104.63,101.86,90.32
105,70.6,0.0,165.85,63.63,25.85,113.38,76.76,30.77,135.1,76.25,27.73,140.75,211.48,32.05,167.22,192.38,77.4,180.41,199.77,59.88,147.73,216.73,61.51,150.32,0.0,126.89,51.07,21.53,101.63,56.32,20.29,98.33,50.65,19.11,109.22,49.65,174.2
110,25.67,0.0,223.25,40.88,28.67,149.01,42.46,30.03,161.11,44.4,29.11,166.24,134.58,6.41,225.11,134.7,53.32,221.18,133.03,41.88,172.16,144.87,44.91,191.74,0.0,106.86,12.77,15.42,96.43,23.6,13.41,81.41,20.61,12.43,82.92,18.66,258.07
115,6.42,0.0,223.25,25.02,25.57,155.76,27.43,25.66,167.18,30.88,26.91,175.58,70.49,0.0,225.11,80.95,37.82,190.8,85.12,32.25,172.52,89.97,32.54,173.06,6.38,66.78,0.0,12.88,55.19,8.81,10.41,50.15,8.32,11.67,44.62,7.5,316.13
120,0.0,0.0,178.6,16.83,19.76,127.57,21.09,20.67,128.7,21.8,20.75,148.27,25.63,0.0,167.22,39.03,22.94,147.85,44.14,21.6,127.71,45.66,23.47,124.62,31.89,26.71,0.0,23.7,26.49,7.7,24.1,21.4,6.87,25.63,21.14,6.57,335.49
125,0.0,0.0,140.33,14.46,16.25,89.62,16.56,16.79,106.92,18.84,14.4,126.36,6.41,0.0,90.04,16.83,11.56,81.29,18.38,9.54,71.24,18.31,12.25,58.25,89.3,6.68,0.0,65.74,17.28,12.89,61.97,15.1,11.58,64.64,14.65,9.73,316.13
130,0.0,0.0,159.47,16.57,16.41,98.78,17.59,20.14,126.56,22.89,14.99,152.27,0.0,0.0,32.16,4.29,4.09,26.89,4.26,2.96,26.43,4.34,4.05,20.79,172.22,0.0,0.0,150.23,22.4,23.19,107.9,20.78,19.59,123.29,18.77,18.77,264.52
135,0.0,0.0,210.5,18.91,22.11,144.95,21.76,28.81,174.38,26.85,21.07,182.04,0.0,0.0,6.43,0.81,0.85,5.4,0.9,0.65,4.76,0.86,0.78,4.61,248.77,0.0,0.0,192.14,32.74,31.74,176.21,29.66,28.22,191.13,28.4,27.05,200.0
140,0.0,0.0,242.39,20.82,27.96,170.73,25.38,30.54,189.79,27.02,26.14,197.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.04,0.0,0.0,220.49,36.43,37.38,209.48,32.61,33.42,213.4,35.69,29.68,154.84
145,0.0,0.0,204.12,17.83,24.92,151.16,23.41,27.1,161.42,23.85,23.0,166.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.9,0.0,0.0,212.38,32.12,35.63,186.87,29.06,30.35,182.47,30.2,30.77,135.49
150,0.0,0.0,127.57,12.27,14.2,87.41,15.8,17.72,100.31,15.15,12.98,104.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.5,0.0,0.0,160.13,23.79,28.3,133.82,23.55,22.44,133.89,27.06,24.36,129.03
155,0.0,0.0,51.03,4.92,5.44,29.98,6.33,7.41,39.0,5.89,4.54,41.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.95,6.68,0.0,105.29,19.59,19.32,86.11,20.03,14.31,78.31,23.08,15.02,109.68
160,0.0,0.0,12.76,1.23,1.46,8.06,1.42,1.64,9.87,1.58,1.19,10.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.54,33.39,0.0,64.75,35.39,13.57,58.25,35.46,12.16,44.39,33.97,11.83,90.32
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.03,93.5,0.0,51.87,73.4,17.51,52.25,83.07,15.46,43.28,77.21,15.28,90.32
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.17,180.32,0.0,77.95,127.4,32.06,78.67,141.41,27.16,73.32,148.91,26.05,109.68
175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.06,260.46,0.0,110.02,190.97,45.02,106.42,181.22,43.91,97.47,205.57,37.38,122.58
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.19,300.53,0.0,127.81,216.48,49.57,120.17,224.85,53.67,111.7,224.09,44.83,103.23
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.06,280.5,0.0,108.4,219.63,48.76,101.89,217.51,45.6,111.03,229.9,41.74,64.52
190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.79,220.39,0.0,79.02,193.09,38.25,62.42,163.35,31.8,82.98,173.41,31.08,25.81
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.51,140.25,0.0,38.41,117.93,20.82,32.98,98.77,19.69,37.56,104.94,18.48,6.45
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.38,73.46,0.0,14.43,57.86,10.61,13.1,54.86,9.28,14.49,53.49,8.33,0.0
205,6.42,0.0,0.0,3.88,0.86,0.73,4.58,0.74,0.76,5.31,0.77,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.71,0.0,3.31,21.41,3.95,2.86,19.2,3.22,3.11,18.69,2.65,0.0
210,25.67,0.0,0.0,15.94,3.19,2.8,20.96,3.13,2.82,20.67,2.7,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.68,0.0,0.8,5.76,0.96,0.66,4.69,0.73,0.73,4.69,0.68,0.0
215,64.18,0.0,0.0,42.96,6.96,6.82,53.11,7.65,7.25,50.41,6.14,8.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,102.69,0.0,0.0,73.25,10.61,11.33,78.73,11.94,11.94,77.82,9.85,13.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,121.95,0.0,0.0,88.15,12.55,13.25,87.56,14.76,14.39,93.93,12.63,14.93,0.0,12.82,0.0,1.49,10.58,1.52,1.61,8.93,1.48,1.6,10.64,1.44,6.38,0.0,0.0,5.48,0.76,0.81,4.47,0.78,0.8,5.12,0.75,0.62,0.0
230,102.69,0.0,0.0,71.61,11.32,9.7,77.98,12.55,11.61,88.85,10.76,13.12,6.41,51.28,0.0,10.77,44.28,7.34,11.41,36.98,6.56,12.41,41.38,7.04,31.89,0.0,0.0,26.61,3.73,4.09,22.25,3.76,3.88,22.28,3.74,3.38,0.0
235,64.18,0.0,0.0,44.96,6.56,5.87,47.91,7.61,7.72,54.97,7.38,8.04,25.63,128.21,0.0,35.2,108.77,20.1,38.03,90.48,18.01,40.59,94.12,18.21,102.06,0.0,0.0,94.91,11.47,12.63,66.48,10.82,11.57,74.14,11.72,10.45,0.0
240,25.67,0.0,0.0,18.6,2.61,2.44,18.35,3.22,2.81,20.59,2.65,3.05,64.08,205.13,0.0,69.4,176.72,36.79,85.54,140.03,29.85,86.18,147.78,31.53,216.87,0.0,0.0,178.5,22.98,24.65,141.23,22.51,23.86,161.44,24.74,21.7,0.0
245,6.42,6.4,0.0,5.07,5.03,1.28,5.2,6.23,1.52,5.41,4.98,1.64,102.53,243.59,0.0,104.31,232.2,45.55,140.0,183.95,42.33,121.9,190.3,40.91,350.83,0.0,0.0,267.56,40.49,41.33,242.24,37.0,37.43,254.88,41.44,37.07,0.0
250,0.0,38.41,0.0,3.72,29.54,4.2,4.47,31.7,4.39,4.83,29.22,4.9,121.76,205.13,0.0,117.53,203.83,42.72,145.32,156.74,41.98,125.57,177.78,36.78,427.37,0.0,0.0,344.36,49.39,54.58,283.64,45.01,45.49,325.62,49.5,48.81,0.0
255,0.0,115.22,0.0,10.35,82.8,12.89,13.69,94.39,13.3,14.97,79.47,15.46,102.53,128.21,0.0,106.64,119.97,32.13,102.76,88.23,26.57,100.93,103.37,26.01,408.23,0.0,0.0,337.15,50.09,50.53,281.23,44.9,46.75,326.95,47.21,44.8,0.0
260,0.0,230.44,0.0,19.42,168.19,23.73,25.5,186.3,28.45,26.55,152.69,29.81,64.08,51.28,0.0,56.44,45.2,16.25,56.14,38.0,12.24,60.2,43.8,13.09,293.42,0.0,0.0,238.0,36.07,37.25,197.91,35.05,35.08,217.91,33.39,31.54,0.0
265,0.0,326.46,0.0,30.56,246.25,35.97,36.76,255.32,43.0,40.02,232.37,41.93,25.63,12.82,0.0,20.72,12.84,5.01,20.44,11.34,3.81,24.96,13.11,4.58,159.47,0.0,0.0,127.62,19.19,22.68,113.52,18.3,20.02,115.53,18.19,15.67,0.0
270,0.0,345.67,0.0,35.82,263.17,38.46,40.65,262.54,46.65,43.41,242.81,45.66,6.41,0.0,0.0,5.16,0.78,0.81,4.87,0.68,0.71,5.79,0.78,0.75,57.41,0.0,0.0,48.68,6.6,7.93,44.16,6.39,6.68,40.86,6.57,5.66,0.0
275,0.0,268.85,0.0,26.88,189.79,28.12,31.05,199.2,33.87,30.73,184.68,32.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.76,0.0,0.0,10.57,1.36,1.73,9.43,1.44,1.26,8.05,1.5,1.25,0.0
280,0.0,153.63,0.0,14.39,105.14,16.09,16.22,109.65,18.36,17.12,106.21,18.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,0.0,57.61,0.0,5.16,37.24,6.37,6.35,45.15,6.93,7.1,40.39,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
290,0.0,12.8,0.0,1.23,8.37,1.32,1.57,10.92,1.38,1.68,8.5,1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
305,262.19,48.65,0.0,199.65,62.24,29.7,194.39,55.43,37.18,193.92,70.19,31.44,188.73,261.86,381.88,216.43,285.77,374.39,225.32,237.04,318.29,238.56,278.39,293.12,0.0,507.56,24.26,56.85,358.99,88.2,56.52,376.96,80.75,57.63,375.58,77.89,202.26
310,371.94,121.62,0.0,230.19,133.55,50.47,316.19,119.57,56.27,281.88,153.11,57.14,292.22,371.48,436.87,284.41,442.72,462.34,311.55,341.3,333.77,338.32,368.48,364.11,0.0,520.25,78.83,67.37,406.32,128.46,61.09,387.32,117.27,66.93,410.24,115.98,226.78
315,445.11,194.6,0.0,254.26,183.27,72.31,371.61,186.85,66.5,356.13,216.37,73.78,389.63,444.56,455.2,324.42,521.38,548.49,386.91,451.09,364.61,456.5,472.29,381.66,0.0,456.81,169.8,71.04,357.18,186.69,67.23,367.75,188.99,70.68,367.47,156.23,220.65
320,408.52,231.08,0.0,282.45,204.35,69.93,334.61,202.47,71.33,369.37,238.49,76.61,407.89,408.02,412.43,356.49,453.79,474.73,404.88,381.31,338.99,476.87,461.09,402.91,12.12,380.67,251.66,84.17,301.35,241.13,88.01,313.8,279.94,78.07,327.32,181.87,190.0
325,280.48,200.68,0.0,206.09,181.5,51.72,252.79,159.11,56.66,272.02,199.04,63.39,334.84,280.13,308.56,270.87,321.15,368.08,322.14,219.23,251.41,367.54,340.69,275.93,54.54,310.88,278.95,117.96,273.5,276.52,108.79,307.29,255.72,112.17,321.43,196.81,171.61
330,134.14,152.03,0.0,104.1,119.88,29.9,132.44,113.02,34.03,137.37,154.84,35.82,206.99,133.98,213.85,176.16,173.29,244.25,195.22,122.03,169.72,223.47,185.03,172.27,151.49,291.85,224.37,186.23,285.36,253.73,168.31,283.08,203.06,187.3,300.97,206.38,202.26
335,42.68,133.79,0.0,41.44,96.02,18.06,49.03,100.72,19.47,48.89,129.56,20.38,97.41,54.81,152.75,92.16,82.14,151.9,94.49,63.92,110.4,111.43,85.17,128.79,278.75,266.47,133.41,242.84,241.53,181.79,253.45,276.31,162.57,269.44,272.42,155.86,269.68
340,6.1,170.27,0.0,18.67,116.73,18.05,24.16,134.43,17.85,24.4,139.77,19.43,30.44,54.81,128.31,37.37,62.54,118.27,43.8,59.03,88.22,48.18,78.28,110.76,387.82,228.4,63.67,311.06,189.03,117.09,274.01,246.74,119.1,314.68,253.89,109.64,337.1
345,0.0,212.84,0.0,19.68,141.7,22.07,22.72,160.88,20.01,24.48,176.61,24.29,6.09,121.8,103.87,24.12,111.61,92.71,29.1,106.44,85.35,33.98,128.46,87.93,406.0,171.3,60.64,338.14,171.35,103.69,310.74,193.55,114.31,296.65,198.25,98.98,355.49
350,0.0,212.84,0.0,21.0,151.65,23.86,25.16,157.05,20.76,23.67,176.31,25.26,0.0,194.87,85.54,27.1,193.15,89.32,28.19,156.03,81.48,34.83,168.58,75.04,345.4,114.2,127.35,332.25,141.11,135.64,285.06,155.27,158.17,266.37,148.91,135.59,318.71
355,0.0,158.11,0.0,16.93,113.85,19.23,18.3,114.81,16.98,18.4,130.12,19.43,0.0,231.41,85.54,31.85,224.97,99.44,32.49,158.07,77.72,40.13,202.72,83.79,260.57,63.45,218.31,248.49,115.5,225.87,228.96,104.26,223.63,223.8,107.91,184.89,226.78
360,6.1,85.14,0.0,13.07,58.38,10.71,14.2,66.62,10.82,14.39,72.5,11.36,0.0,194.87,116.09,32.29,180.39,131.16,35.16,135.99,93.06,39.46,169.89,112.15,248.45,25.38,297.14,227.39,87.64,311.09,230.21,82.41,262.16,222.89,89.27,214.78,128.71
365,30.49,30.41,0.0,22.45,23.88,6.66,24.94,28.79,7.26,25.12,32.04,7.22,0.0,127.89,164.97,29.77,134.22,172.54,33.15,105.9,127.79,36.69,114.42,132.33,309.05,6.34,315.34,239.06,77.58,334.97,285.13,79.42,285.95,262.23,82.06,213.1,49.03
370,85.36,6.08,0.0,54.41,12.41,11.0,65.27,14.76,10.24,67.86,16.86,11.02,6.09,79.17,219.96,36.29,96.83,194.8,41.58,79.08,161.74,44.39,91.17,168.77,393.88,0.0,309.27,314.11,90.34,333.07,332.56,86.36,314.36,292.78,88.29,228.84,12.26
375,164.63,0.0,0.0,108.64,16.32,19.83,133.45,18.45,18.08,141.94,21.1,20.48,30.44,97.44,256.62,59.55,119.1,211.81,70.32,107.9,177.44,75.3,124.5,190.97,406.0,0.0,291.08,326.43,89.01,294.67,387.08,80.9,267.66,324.37,74.55,223.18,0.0
380,237.8,0.0,0.0,144.63,24.67,26.5,195.35,23.85,27.48,201.51,30.45,30.65,85.23,158.33,256.62,103.45,177.31,223.31,119.8,154.88,188.0,119.46,193.02,185.67,333.29,0.0,309.27,273.77,77.92,308.53,328.79,80.86,285.69,276.16,69.55,229.22,0.0
385,274.38,0.0,0.0,170.73,30.56,28.64,194.89,27.18,31.45,221.57,34.2,34.96,164.37,213.14,201.63,144.04,230.83,223.77,178.03,192.27,159.72,189.37,228.09,161.84,206.03,6.34,315.34,193.07,66.82,318.07,206.02,76.72,282.06,205.95,75.99,207.9,0.0
390,256.09,0.0,6.06,165.27,29.23,32.92,187.21,28.52,31.22,214.43,30.0,38.11,237.43,213.14,128.31,197.75,232.82,154.87,212.1,203.3,136.24,253.91,237.79,131.83,96.96,25.38,297.14,113.81,63.76,264.65,109.89,67.69,243.69,124.83,79.55,203.66,6.13
395,201.21,0.0,30.3,128.13,24.82,47.57,157.37,25.82,43.65,175.23,28.19,51.98,273.96,158.33,79.43,211.92,185.08,107.63,243.67,160.86,105.84,257.69,184.49,102.11,30.3,63.45,218.31,57.56,82.1,196.61,49.49,73.88,180.69,57.45,85.24,161.78,30.65
400,128.04,0.0,84.84,90.4,21.38,82.53,112.25,22.85,77.82,117.13,27.35,89.44,255.69,85.26,97.76,184.29,117.93,120.55,241.37,106.8,96.78,241.58,123.4,113.97,6.06,101.51,127.35,33.96,97.95,118.46,30.7,87.44,105.73,32.6,105.68,94.12,85.81
405,67.07,0.0,157.55,57.89,24.49,129.24,66.76,22.7,126.19,78.0,27.47,128.16,200.9,30.45,158.86,155.94,67.51,154.26,182.28,62.13,117.51,179.6,70.23,135.93,0.0,120.55,48.51,21.06,96.4,53.58,20.89,97.61,50.43,21.13,99.79,42.09,165.49
410,24.39,0.0,212.09,33.54,25.92,150.99,42.44,24.13,161.06,47.33,28.24,164.68,127.85,6.09,213.85,117.12,47.41,187.84,105.68,41.4,163.77,126.71,44.87,167.25,0.0,101.51,12.13,12.39,78.23,23.25,13.83,74.81,21.57,13.22,79.85,16.77,245.16
415,6.1,0.0,212.09,23.44,23.27,149.81,27.7,22.11,155.22,35.55,25.37,160.88,66.97,0.0,213.85,66.49,34.85,197.57,72.77,28.18,170.31,81.86,35.93,179.31,6.06,63.45,0.0,10.63,45.48,9.42,11.57,47.02,8.02,11.74,53.27,6.77,300.33
420,0.0,0.0,169.67,16.36,17.57,113.6,20.56,16.84,124.14,24.11,22.01,129.81,24.35,0.0,158.86,31.44,23.11,148.64,40.52,19.14,115.17,37.19,25.6,126.94,30.3,25.38,0.0,25.37,22.59,7.47,22.84,20.99,7.23,29.03,26.13,5.59,318.71
425,0.0,0.0,133.31,12.24,13.17,91.1,17.83,13.31,97.42,15.57,17.07,101.18,6.09,0.0,85.54,11.91,13.44,72.81,16.0,10.59,56.1,16.08,11.35,62.47,84.84,6.34,0.0,68.76,15.64,11.4,66.49,12.56,11.62,64.35,15.57,8.63,300.33
430,0.0,0.0,151.49,14.84,14.77,103.39,19.0,14.16,100.17,16.73,19.22,110.76,0.0,0.0,30.55,3.15,4.37,27.61,3.41,3.79,18.85,4.16,3.81,21.54,163.61,0.0,0.0,133.56,19.75,19.43,130.0,18.82,20.12,110.82,20.08,16.14,251.29
435,0.0,0.0,199.97,21.33,21.05,139.98,21.09,18.79,126.13,23.02,25.94,159.4,0.0,0.0,6.11,0.63,0.84,5.65,0.62,0.67,3.85,0.77,0.81,4.15,236.33,0.0,0.0,181.18,27.12,27.13,175.9,30.42,27.49,176.89,26.78,23.82,190.0
440,0.0,0.0,230.27,23.81,25.48,161.3,24.72,25.27,149.14,29.1,30.8,186.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.69,0.0,0.0,201.6,30.4,34.05,201.38,32.55,34.35,224.61,30.22,27.97,147.1
445,0.0,0.0,193.91,20.27,20.74,139.01,23.69,21.55,128.34,22.88,23.41,162.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.51,0.0,0.0,192.01,26.76,33.04,192.38,29.94,30.71,223.41,31.43,28.79,128.71
450,0.0,0.0,121.19,12.58,12.91,80.33,16.06,13.23,86.66,14.94,14.04,104.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.97,0.0,0.0,145.03,21.59,26.39,148.69,23.58,24.02,165.68,25.76,20.7,122.58
